Name,RIM DFGA,RIM DFG%
AJ Hammons,15,40
Aaron Brooks,43,76.7
Aaron Gordon,134,59
Aaron Harrison,5,60
Adreian Payne,13,53.8
Al Horford,254,59.4
Al Jefferson,110,61.8
Al-Farouq Aminu,156,52.6
Alan Anderson,22,77.3
Alan Williams,40,72.5
Alec Burks,22,68.2
Alex Abrines,74,70.3
Alex Len,229,50.2
Alexis Ajinca,68,60.3
Allen Crabbe,89,70.8
Alonzo Gee,6,83.3
Amir Johnson,225,54.2
Anderson Varejao,22,63.6
Andre Drummond,264,61.7
Andre Iguodala,103,72.8
Andre Roberson,231,57.1
Andrew Bogut,95,52.6
Andrew Harrison,91,61.5
Andrew Nicholson,42,61.9
Andrew Wiggins,230,66.5
Anthony Bennett,31,71
Anthony Brown,15,73.3
Anthony Davis,285,55.4
Anthony Morrow,49,69.4
Anthony Tolliver,125,69.6
Arinze Onuaku,4,75
Aron Baynes,155,52.3
Arron Afflalo,70,72.9
Austin Rivers,109,59.6
Avery Bradley,98,68.4
Ben McLemore,46,56.5
Beno Udrih,22,77.3
Bismack Biyombo,274,58.4
Blake Griffin,140,66.4
Boban Marjanovic,31,48.4
Bobby Brown,4,50
Bobby Portis,75,66.7
Bojan Bogdanovic,120,66.7
Boris Diaw,103,61.2
Bradley Beal,113,75.2
Brandan Wright,18,61.1
Brandon Bass,49,71.4
Brandon Ingram,131,71
Brandon Jennings,85,74.1
Brandon Knight,82,73.2
Brandon Rush,33,60.6
Brian Roberts,7,71.4
Brook Lopez,249,56.6
Bruno Caboclo,1,0
Bryn Forbes,6,33.3
Buddy Hield,107,73.8
C.J. Watson,39,71.8
C.J. McCollum,135,51.1
C.J. Miles,66,62.1
C.J. Wilcox,12,66.7
Cameron Payne,29,72.4
Caris LeVert,47,70.2
Carmelo Anthony,156,62.2
Chandler Parsons,23,65.2
Channing Frye,174,59.8
Chasson Randle,10,80
Cheick Diallo,12,58.3
Chinanu Onuaku,3,100
Chris Andersen,32,59.4
Chris McCullough,8,62.5
Chris Paul,77,68.8
Christian Wood,3,33.3
Clint Capela,270,55.9
Cody Zeller,195,52.8
Cole Aldrich,111,65.8
Corey Brewer,78,64.1
Cory Joseph,106,69.8
Courtney Lee,123,69.1
Cristiano Felicio,168,60.1
D'Angelo Russell,92,76.1
D.J. Augustin,61,77
Damian Jones,4,50
Damian Lillard,129,66.7
Damjan Rudez,23,73.9
Daniel Ochefu,7,71.4
Danilo Gallinari,113,66.4
Danny Green,134,63.4
Dante Cunningham,136,64
Dante Exum,59,62.7
Dario Saric,191,62.8
Darrell Arthur,71,57.7
Darren Collison,61,73.8
Darrun Hilliard,14,78.6
David Lee,159,52.8
David West,104,58.7
Davis Bertans,98,58.2
DeAndre Jordan,299,54.2
DeAndre Liggins,57,66.7
DeAndre' Bembry,20,55
DeMar DeRozan,101,67.3
DeMarcus Cousins,281,53.4
DeMarre Carroll,145,55.9
