,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FT%,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,MR FGM,MR FGA,3P%,RIM DFGA,RIM DFG%
0,Alex Abrines,46,643,16,9.5,1.6,5.2,2.1,6.7,0.204,2,0,10,21,5,11,2,10,7,14,14,35,0,74,70.3
1,Quincy Acy,18,182,19.5,8.7,0.8,1.8,7.7,15.5,0.308,25,0.85,10,21,3,6,2,3,1,4,6,13,0.467,5,80
2,Steven Adams,55,1695,16.8,16.3,1.7,5.6,12.6,15.9,0.369,131,0.674,175,269,83,172,9,23,0,2,92,197,0,294,58.5
3,Arron Afflalo,49,1253,13.8,8.6,0.7,7.4,0.8,7.8,0.216,87,0.884,18,34,18,37,22,51,31,73,71,161,0.39,70,72.9
4,Alexis Ajinca,23,350,16.3,16.3,1.7,3,7.7,23.7,0.247,44,0.708,23,34,7,18,7,13,8,29,22,60,0,68,60.3
5,Cole Aldrich,51,472,9,13.5,2.5,7.3,11.4,24.3,0.284,80,0.667,28,41,11,32,0,1,0,0,11,33,0,111,65.8
6,LaMarcus Aldridge,51,1649,24.6,8.2,0.9,10.6,8.4,17.1,0.305,121,0.815,115,161,57,149,54,137,106,242,217,528,0.421,194,50
7,Lavoy Allen,42,588,10.2,13.5,1.1,9.1,9.9,12.8,0.187,52,0.65,13,30,16,29,2,7,16,40,34,76,0,69,59.4
8,Tony Allen,49,1366,17.8,13.7,3.3,7.1,9.3,13.8,0.251,127,0.629,152,276,19,70,5,13,8,29,32,112,0.226,101,60.4
9,Al-Farouq Aminu,37,1075,15.5,14.8,1.7,10.1,4.3,24,0.228,67,0.746,42,80,9,43,3,11,7,15,19,69,0.307,156,52.6
10,Chris Andersen,12,114,12.8,15.1,2.2,5.9,8.9,20.7,0.636,20,0.714,7,14,1,1,0,1,1,3,2,5,0,32,59.4
11,Alan Anderson,23,266,13.8,8.5,0.6,5.7,1.3,8.1,0.171,27,0.75,9,11,1,7,1,5,2,8,4,20,0.308,22,77.3
12,Justin Anderson,51,710,23.7,11.3,2.1,7.6,6.1,19.1,0.319,64,0.795,54,81,14,42,4,16,1,14,19,72,0.303,60,71.7
13,Kyle Anderson,51,671,11.5,15.8,2.5,11,3.5,18.6,0.355,37,0.795,22,33,12,29,4,17,6,21,22,67,0.375,64,51.6
14,Ryan Anderson,55,1695,17.7,7,0.8,4.6,6,12.2,0.207,115,0.847,50,91,18,50,8,21,20,55,46,126,0.407,223,66.4
15,Giannis Antetokounmpo,54,1914,28.3,13.5,2.5,26.4,6.2,21.3,0.456,177,0.792,302,427,53,129,20,59,42,114,115,302,0.275,243,53.1
16,Carmelo Anthony,56,1906,29.6,8.7,1.3,14.9,2.7,16.3,0.271,151,0.824,82,147,37,80,89,212,145,312,271,604,0.378,156,62.2
17,Trevor Ariza,58,2009,14.3,7.9,2.7,9,2.2,15.7,0.133,93,0.718,73,113,11,32,4,9,5,20,20,61,0.353,165,70.3
18,Darrell Arthur,29,473,18,14.9,0.8,10,4.9,14.5,0.06,59,0.9,12,21,0,6,7,13,16,37,23,56,0.489,71,57.7
19,Omer Asik,31,482,8.9,14.6,0.5,4.3,10.4,25.3,0.6,51,0.59,30,58,0,6,0,0,14,16,14,22,0,98,59.2
20,D.J. Augustin,57,1177,19.4,12.8,1,22.2,0.8,7.3,0.31,78,0.779,32,63,17,39,7,25,19,50,43,114,0.361,61,77
21,Luke Babbitt,48,752,13,7.7,1,4.4,1.6,12.8,0.076,80,0.733,2,10,2,9,10,23,8,18,20,50,0.387,81,59.3
22,Ron Baker,28,328,15.7,16.7,2.4,13.9,2,11.4,0.22,29,0.6,16,33,1,6,2,3,2,8,5,17,0.317,28,57.1
23,Wade Baldwin,24,309,18.9,24,2.3,24,2.5,9.8,0.381,31,0.844,11,25,3,11,6,18,4,12,13,41,0.111,30,66.7
24,Leandro Barbosa,53,696,19.3,8.5,1.6,14.2,1.7,10.5,0.089,56,0.84,56,94,8,30,9,24,25,69,42,123,0.422,35,65.7
25,J.J. Barea,18,444,25.4,13.1,1.1,35.2,1.3,13,0.172,13,0.939,17,33,14,37,13,24,11,24,38,85,0.351,22,77.3
26,Harrison Barnes,56,2007,26.2,6.4,1.3,8,3.9,13.8,0.197,90,0.841,108,155,85,169,86,189,109,261,280,619,0.335,153,73.2
