,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA,DFGA,DFG%
0,Alex Abrines,46,643,16,9.5,1.6,5.2,2.1,6.7,0.204,2,0,1,10,21,5,11,2,10,7,14,0,0,74,70.3
1,Quincy Acy,18,182,19.5,8.7,0.8,1.8,7.7,15.5,0.308,25,17,20,10,21,3,6,2,3,1,4,14,30,5,80
2,Steven Adams,55,1695,16.8,16.3,1.7,5.6,12.6,15.9,0.369,131,120,178,175,269,83,172,9,23,0,2,0,2,294,58.5
3,Arron Afflalo,49,1253,13.8,8.6,0.7,7.4,0.8,7.8,0.216,87,61,69,18,34,18,37,22,51,31,73,48,123,70,72.9
4,Alexis Ajinca,23,350,16.3,16.3,1.7,3,7.7,23.7,0.247,44,17,24,23,34,7,18,7,13,8,29,0,3,68,60.3
5,Cole Aldrich,51,472,9,13.5,2.5,7.3,11.4,24.3,0.284,80,14,21,28,41,11,32,0,1,,,0,0,111,65.8
6,LaMarcus Aldridge,51,1649,24.6,8.2,0.9,10.6,8.4,17.1,0.305,121,181,222,115,161,57,149,54,137,106,242,16,38,194,50
7,Lavoy Allen,42,588,10.2,13.5,1.1,9.1,9.9,12.8,0.187,52,13,20,13,30,16,29,2,7,16,40,0,1,69,59.4
8,Tony Allen,49,1366,17.8,13.7,3.3,7.1,9.3,13.8,0.251,127,66,105,152,276,19,70,5,13,8,29,7,31,101,60.4
9,Al-Farouq Aminu,37,1075,15.5,14.8,1.7,10.1,4.3,24,0.228,67,50,67,42,80,9,43,3,11,7,15,42,137,156,52.6
10,Chris Andersen,12,114,12.8,15.1,2.2,5.9,8.9,20.7,0.636,20,10,14,7,14,1,1,0,1,1,3,0,3,32,59.4
