P1 Sorted,P2 Sorted,P3 Sorted,P4 Sorted,P5 Sorted,Sum of POSS,Sum of DPOSS,Sum of PTS,Sum of DPTS,Sum of ORTG,Sum of DRTG,Sum of Net RTG
0,4,6,6,7,1,0,3,1,300,0,300
0,0,2,7,8,2,3,5,0,250,0,250
0,3,7,8,8,6,9,12,0,200,0,200
2,3,3,5,7,4,4,10,2,250,50,200
1,1,2,2,7,2,0,4,0,200,0,200
1,1,7,8,8,2,3,4,0,200,0,200
1,1,3,4,5,4,2,6,0,150,0,150
2,3,6,7,7,2,2,3,0,150,0,150
1,5,7,7,8,6,6,12,4,200,66.67,133.33
4,5,6,6,7,2,3,4,2,200,66.67,133.33
4,5,5,6,7,4,3,5,0,125,0,125
0,0,4,4,6,5,6,9,4,180,66.67,113.33
0,0,4,7,7,9,7,12,2,133.33,28.57,104.76
1,3,4,6,8,8,8,13,5,162.5,62.5,100
0,1,3,8,8,4,3,4,0,100,0,100
0,5,7,7,7,2,2,2,0,100,0,100
0,6,7,7,7,1,1,1,0,100,0,100
2,3,4,5,8,1,1,1,0,100,0,100
0,0,0,0,4,3,3,5,2,166.67,66.67,100
0,2,2,7,7,3,3,5,2,166.67,66.67,100
2,2,3,4,4,5,4,7,2,140,50,90
0,0,6,8,8,7,8,11,6,157.14,75,82.14
1,1,3,4,6,4,4,5,2,125,50,75
0,0,1,5,8,26,25,45,25,173.08,100,73.08
2,3,3,4,5,6,7,6,2,100,28.57,71.43
0,0,0,0,3,26,26,31,13,119.23,50,69.23
0,0,1,3,8,15,14,20,9,133.33,64.29,69.04
0,0,0,1,7,13,12,16,7,123.08,58.33,64.75
3,3,6,6,7,12,10,22,12,183.33,120,63.33
0,2,3,3,4,15,16,15,6,100,37.5,62.5
0,1,4,5,6,37,38,43,21,116.22,55.26,60.96
0,2,3,8,8,10,10,14,8,140,80,60
0,0,1,4,4,41,40,60,35,146.34,87.5,58.84
0,3,3,3,5,4,6,7,7,175,116.67,58.33
2,4,4,4,8,26,26,30,15,115.38,57.69,57.69
0,1,3,7,7,25,23,37,21,148,91.3,56.7
2,6,6,7,7,11,13,16,12,145.45,92.31,53.14
4,5,5,6,8,20,22,36,28,180,127.27,52.73
0,1,1,2,6,24,25,39,28,162.5,112,50.5
2,3,3,3,5,34,35,52,36,152.94,102.86,50.08
2,2,6,7,7,8,8,10,6,125,75,50
1,1,5,6,8,6,5,9,5,150,100,50
1,2,3,3,4,4,4,8,6,200,150,50
2,3,4,7,7,4,4,4,2,100,50,50
3,4,5,7,8,4,4,7,5,175,125,50
2,3,3,6,7,20,19,18,8,90,42.11,47.89
0,0,3,3,8,98,100,120,76,122.45,76,46.45
0,2,5,8,8,61,63,84,58,137.7,92.06,45.64
2,2,3,3,4,9,9,14,10,155.56,111.11,44.45
0,4,4,6,8,25,22,36,22,144,100,44
4,4,5,6,8,43,46,59,43,137.21,93.48,43.73
1,2,4,5,8,85,86,118,82,138.82,95.35,43.47
0,1,3,3,4,14,13,20,13,142.86,100,42.86
0,0,1,3,7,69,80,93,75,134.78,93.75,41.03
0,1,4,4,8,12,13,16,12,133.33,92.31,41.02
2,4,7,7,8,15,15,18,12,120,80,40
2,3,5,8,8,5,6,7,6,140,100,40
1,1,5,6,7,23,24,29,21,126.09,87.5,38.59
0,0,0,3,7,13,13,13,8,100,61.54,38.46
0,1,3,4,5,67,64,77,49,114.93,76.56,38.37
2,5,7,7,8,120,115,161,114,134.17,99.13,35.04
1,2,2,4,4,119,122,128,89,107.56,72.95,34.61
1,3,3,3,8,147,159,168,128,114.29,80.5,33.79
4,4,6,6,8,6,6,7,5,116.67,83.33,33.34
1,1,2,6,6,3,2,4,2,133.33,100,33.33
3,3,5,5,6,2,3,4,5,200,166.67,33.33
0,0,4,5,8,72,68,81,54,112.5,79.41,33.09
2,4,6,6,7,13,15,19,17,146.15,113.33,32.82
5,6,6,7,7,19,17,25,17,131.58,100,31.58
0,1,1,3,5,10,9,12,8,120,88.89,31.11
3,3,5,8,8,23,23,32,25,139.13,108.7,30.43
1,4,5,6,7,76,76,84,61,110.53,80.26,30.27
1,1,2,3,6,70,70,81,60,115.71,85.71,30
0,1,3,5,7,114,114,149,115,130.7,100.88,29.82
1,2,3,4,4,24,26,33,28,137.5,107.69,29.81
5,5,6,6,7,46,51,55,46,119.57,90.2,29.37
0,0,3,8,8,38,40,51,42,134.21,105,29.21
0,1,4,5,5,8,9,13,12,162.5,133.33,29.17
0,1,3,3,3,111,113,130,100,117.12,88.5,28.62
0,2,4,6,8,14,15,18,15,128.57,100,28.57
0,0,5,5,8,314,321,422,341,134.39,106.23,28.16
0,0,7,7,8,43,44,58,47,134.88,106.82,28.06
0,3,3,5,7,14,13,20,15,142.86,115.38,27.48
0,1,1,4,6,26,27,36,30,138.46,111.11,27.35
1,4,4,5,8,10,11,10,8,100,72.73,27.27
1,6,7,8,8,49,48,49,35,100,72.92,27.08
0,0,0,1,4,52,53,66,53,126.92,100,26.92
1,5,5,7,7,52,57,76,68,146.15,119.3,26.85
0,4,5,5,7,6,5,4,2,66.67,40,26.67
2,2,3,5,8,30,30,28,20,93.33,66.67,26.66
1,3,3,5,8,90,88,120,94,133.33,106.82,26.51
1,2,3,3,5,111,109,121,90,109.01,82.57,26.44
2,3,5,7,8,67,68,80,64,119.4,94.12,25.28
0,0,5,5,6,153,129,188,126,122.88,97.67,25.21
2,6,7,8,8,8,8,8,6,100,75,25
0,2,4,4,4,16,15,21,16,131.25,106.67,24.58
0,1,2,2,3,106,105,131,104,123.58,99.05,24.53
0,5,5,6,6,65,66,75,60,115.38,90.91,24.47
0,2,3,3,5,156,154,207,167,132.69,108.44,24.25
1,2,5,5,6,32,30,48,38,150,126.67,23.33
0,1,3,3,5,179,183,244,208,136.31,113.66,22.65
1,1,2,5,6,23,24,33,29,143.48,120.83,22.65
0,0,3,6,7,27,27,28,22,103.7,81.48,22.22
0,1,6,7,8,57,59,56,45,98.25,76.27,21.98
2,3,3,5,6,19,20,25,22,131.58,110,21.58
2,5,5,7,7,28,26,34,26,121.43,100,21.43
0,1,4,6,8,52,51,56,44,107.69,86.27,21.42
0,0,1,1,4,47,47,61,51,129.79,108.51,21.28
2,4,5,6,7,47,49,56,48,119.15,97.96,21.19
1,2,6,7,8,20,20,23,19,115,95,20
0,2,3,4,4,15,20,24,28,160,140,20
2,4,6,7,7,5,5,6,5,120,100,20
0,3,3,4,4,4,5,4,4,100,80,20
0,3,3,5,8,211,209,266,223,126.07,106.7,19.37
1,1,5,5,6,78,79,94,80,120.51,101.27,19.24
0,1,3,4,8,51,52,48,39,94.12,75,19.12
0,1,5,5,6,2206,2201,2679,2253,121.44,102.36,19.08
0,2,3,5,5,196,188,256,210,130.61,111.7,18.91
1,2,6,6,8,14,11,23,16,164.29,145.45,18.84
3,3,5,6,6,98,96,115,95,117.35,98.96,18.39
1,2,4,6,7,27,26,34,28,125.93,107.69,18.24
1,3,3,4,8,11,11,13,11,118.18,100,18.18
0,2,6,7,8,137,150,158,146,115.33,97.33,18
0,3,4,6,6,49,50,48,40,97.96,80,17.96
0,2,2,5,8,39,39,53,46,135.9,117.95,17.95
0,3,5,7,8,89,90,102,87,114.61,96.67,17.94
0,3,4,5,8,67,67,77,65,114.93,97.01,17.92
2,5,6,7,7,29,28,32,26,110.34,92.86,17.48
0,2,2,3,4,182,193,219,200,120.33,103.63,16.7
2,2,3,4,7,12,12,14,12,116.67,100,16.67
0,2,4,5,5,6,8,4,4,66.67,50,16.67
4,5,5,6,6,3,4,5,6,166.67,150,16.67
0,2,5,5,6,236,217,277,219,117.37,100.92,16.45
2,3,5,5,6,60,58,74,62,123.33,106.9,16.43
0,2,2,3,3,197,195,223,189,113.2,96.92,16.28
0,5,6,7,7,80,86,106,100,132.5,116.28,16.22
0,3,3,3,8,80,81,89,77,111.25,95.06,16.19
0,0,2,8,8,25,25,30,26,120,104,16
1,5,5,6,7,1541,1546,1824,1590,118.36,102.85,15.51
5,6,7,7,8,196,185,248,206,126.53,111.35,15.18
0,0,0,2,4,83,85,78,67,93.98,78.82,15.16
0,0,2,5,5,558,546,662,565,118.64,103.48,15.16
0,0,1,4,7,34,35,39,35,114.71,100,14.71
1,5,6,7,8,123,123,137,119,111.38,96.75,14.63
0,2,4,6,7,90,89,94,80,104.44,89.89,14.55
3,5,5,6,8,34,33,41,35,120.59,106.06,14.53
0,1,4,4,5,24,26,21,19,87.5,73.08,14.42
0,1,5,5,8,350,362,404,366,115.43,101.1,14.33
2,3,5,6,7,569,559,676,584,118.8,104.47,14.33
0,2,3,3,8,140,150,161,151,115,100.67,14.33
2,6,6,8,8,7,7,4,3,57.14,42.86,14.28
0,5,5,6,7,783,795,930,832,118.77,104.65,14.12
0,2,5,7,8,121,116,137,115,113.22,99.14,14.08
0,1,2,5,5,1676,1686,2031,1814,121.18,107.59,13.59
0,0,2,3,3,65,69,70,65,107.69,94.2,13.49
5,6,6,7,8,850,844,1083,962,127.41,113.98,13.43
1,5,5,7,8,40,35,51,40,127.5,114.29,13.21
0,0,2,2,3,621,610,689,597,110.95,97.87,13.08
0,0,4,4,8,69,69,79,70,114.49,101.45,13.04
0,3,5,6,7,720,729,809,725,112.36,99.45,12.91
1,2,5,6,7,95,90,103,86,108.42,95.56,12.86
0,4,5,5,8,8,6,9,6,112.5,100,12.5
0,1,3,5,8,70,64,86,71,122.86,110.94,11.92
4,6,6,7,8,93,96,104,96,111.83,100,11.83
1,5,6,6,6,548,524,641,551,116.97,105.15,11.82
