,Player1,Player2,Player3,Player4,Player5,Team,GP,MP,POSS,DPOSS,DFGM,DFGA,D3PM,D3PA,DFTM,DFTA,DPTS
0,Bradley Beal,Marcin Gortat,Markieff Morris,Otto Porter,John Wall,WAS,47,940.8,1897,1870,746,1631,182,523,271,368,1945
1,Gorgui Dieng,Zach LaVine,Ricky Rubio,Karl-Anthony Towns,Andrew Wiggins,MIN,41,879.8,1719,1699,737,1550,194,490,247,322,1915
2,Steven Adams,Victor Oladipo,Andre Roberson,Domantas Sabonis,Russell Westbrook,OKC,45,583.9,1156,1149,462,1062,109,303,141,187,1174
3,Stephen Curry,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,GSW,40,507.8,1051,1051,421,948,96,300,111,150,1049
4,Nicolas Batum,Michael Kidd-Gilchrist,Kemba Walker,Marvin Williams,Cody Zeller,CHO,28,489.2,954,965,384,859,120,322,99,126,987
5,Carmelo Anthony,Courtney Lee,Joakim Noah,Kristaps Porzingis,Derrick Rose,NYK,28,395.1,777,779,351,742,81,221,112,140,895
6,Blake Griffin,DeAndre Jordan,Luc Mbah a Moute,Chris Paul,J.J. Redick,LAC,23,446.9,891,894,343,813,89,221,110,135,885
7,Giannis Antetokounmpo,Matthew Dellavedova,John Henson,Jabari Parker,Tony Snell,MIL,30,389.1,785,777,312,710,83,234,147,187,854
8,Luol Deng,Timofey Mozgov,Julius Randle,D'Angelo Russell,Nick Young,LAL,28,402.8,804,802,331,715,69,218,121,159,852
9,DeMarre Carroll,DeMar DeRozan,Kyle Lowry,Pascal Siakam,Jonas Valanciunas,TOR,32,363.9,695,703,330,639,87,201,89,120,836
10,Jimmy Butler,Taj Gibson,Robin Lopez,Rajon Rondo,Dwyane Wade,CHI,30,390.4,761,770,341,700,68,157,80,115,830
11,Kentavious Caldwell-Pope,Andre Drummond,Tobias Harris,Marcus Morris,Ish Smith,DET,41,375.8,725,730,317,664,76,191,103,132,813
12,Monta Ellis,Paul George,Jeff Teague,Myles Turner,Thaddeus Young,IND,32,357.8,739,734,313,670,77,215,108,133,811
13,Paul George,Glenn Robinson,Jeff Teague,Myles Turner,Thaddeus Young,IND,25,366.6,753,757,307,697,82,220,91,107,787
14,Ryan Anderson,Trevor Ariza,Patrick Beverley,Clint Capela,James Harden,HOU,27,319.4,644,637,291,565,63,158,85,107,730
15,LaMarcus Aldridge,Pau Gasol,Danny Green,Kawhi Leonard,Tony Parker,SAS,23,343.2,661,658,269,613,54,153,100,125,692
16,Eric Bledsoe,Devin Booker,Tyson Chandler,Marquese Chriss,T.J. Warren,PHO,26,295.3,606,599,267,540,61,153,91,117,686
17,Kyrie Irving,LeBron James,Kevin Love,J.R. Smith,Tristan Thompson,CLE,18,299.3,600,604,266,572,52,158,67,94,651
18,Evan Fournier,Aaron Gordon,Serge Ibaka,Elfrid Payton,Nikola Vucevic,ORL,38,296.3,580,573,245,513,53,147,96,131,639
