,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA
0,Alex Abrines,46,643,16.0,9.5,1.6,5.2,2.1,6.7,0.204,2,0,1,10.0,21.0,5.0,11.0,2.0,10.0,7.0,14.0,0,0
1,Quincy Acy,18,182,19.5,8.7,0.8,1.8,7.7,15.5,0.308,25,17,20,10.0,21.0,3.0,6.0,2.0,3.0,1.0,4.0,14,30
2,Steven Adams,55,1695,16.8,16.3,1.7,5.6,12.6,15.9,0.369,131,120,178,175.0,269.0,83.0,172.0,9.0,23.0,0.0,2.0,0,2
3,Arron Afflalo,49,1253,13.8,8.6,0.7,7.4,0.8,7.8,0.216,87,61,69,18.0,34.0,18.0,37.0,22.0,51.0,31.0,73.0,48,123
4,Alexis Ajinca,23,350,16.3,16.3,1.7,3.0,7.7,23.7,0.247,44,17,24,23.0,34.0,7.0,18.0,7.0,13.0,8.0,29.0,0,3
5,Cole Aldrich,51,472,9.0,13.5,2.5,7.3,11.4,24.3,0.284,80,14,21,28.0,41.0,11.0,32.0,0.0,1.0,,,0,0
6,LaMarcus Aldridge,51,1649,24.6,8.2,0.9,10.6,8.4,17.1,0.305,121,181,222,115.0,161.0,57.0,149.0,54.0,137.0,106.0,242.0,16,38
7,Lavoy Allen,42,588,10.2,13.5,1.1,9.1,9.9,12.8,0.187,52,13,20,13.0,30.0,16.0,29.0,2.0,7.0,16.0,40.0,0,1
8,Tony Allen,49,1366,17.8,13.7,3.3,7.1,9.3,13.8,0.251,127,66,105,152.0,276.0,19.0,70.0,5.0,13.0,8.0,29.0,7,31
9,Al-Farouq Aminu,37,1075,15.5,14.8,1.7,10.1,4.3,24.0,0.228,67,50,67,42.0,80.0,9.0,43.0,3.0,11.0,7.0,15.0,42,137
10,Chris Andersen,12,114,12.8,15.1,2.2,5.9,8.9,20.7,0.636,20,10,14,7.0,14.0,1.0,1.0,0.0,1.0,1.0,3.0,0,3
11,Alan Anderson,23,266,13.8,8.5,0.6,5.7,1.3,8.1,0.171,27,9,12,9.0,11.0,1.0,7.0,1.0,5.0,2.0,8.0,12,39
12,Justin Anderson,51,710,23.7,11.3,2.1,7.6,6.1,19.1,0.319,64,70,88,54.0,81.0,14.0,42.0,4.0,16.0,1.0,14.0,37,122
13,Kyle Anderson,51,671,11.5,15.8,2.5,11.0,3.5,18.6,0.355,37,35,44,22.0,33.0,12.0,29.0,4.0,17.0,6.0,21.0,9,24
14,Ryan Anderson,55,1695,17.7,7.0,0.8,4.6,6.0,12.2,0.207,115,105,124,50.0,91.0,18.0,50.0,8.0,21.0,20.0,55.0,153,376
15,Giannis Antetokounmpo,54,1914,28.3,13.5,2.5,26.4,6.2,21.3,0.456,177,313,395,302.0,427.0,53.0,129.0,20.0,59.0,42.0,114.0,38,138
16,Carmelo Anthony,56,1906,29.6,8.7,1.3,14.9,2.7,16.3,0.271,151,239,290,82.0,147.0,37.0,80.0,89.0,212.0,145.0,312.0,121,320
17,Trevor Ariza,58,2009,14.3,7.9,2.7,9.0,2.2,15.7,0.133,93,56,78,73.0,113.0,11.0,32.0,4.0,9.0,5.0,20.0,145,411
18,Darrell Arthur,29,473,18.0,14.9,0.8,10.0,4.9,14.5,0.06,59,9,10,12.0,21.0,0.0,6.0,7.0,13.0,16.0,37.0,44,90
19,Omer Asik,31,482,8.9,14.6,0.5,4.3,10.4,25.3,0.6,51,23,39,30.0,58.0,0.0,6.0,,,14.0,16.0,0,0
20,D.J. Augustin,57,1177,19.4,12.8,1.0,22.2,0.8,7.3,0.31,78,95,122,32.0,63.0,17.0,39.0,7.0,25.0,19.0,50.0,78,216
21,Luke Babbitt,48,752,13.0,7.7,1.0,4.4,1.6,12.8,0.076,80,11,15,2.0,10.0,2.0,9.0,10.0,23.0,8.0,18.0,53,137
22,Ron Baker,28,328,15.7,16.7,2.4,13.9,2.0,11.4,0.22,29,12,20,16.0,33.0,1.0,6.0,2.0,3.0,2.0,8.0,13,41
23,Wade Baldwin,24,309,18.9,24.0,2.3,24.0,2.5,9.8,0.381,31,27,32,11.0,25.0,3.0,11.0,6.0,18.0,4.0,12.0,2,18
24,Leandro Barbosa,53,696,19.3,8.5,1.6,14.2,1.7,10.5,0.089,56,21,25,56.0,94.0,8.0,30.0,9.0,24.0,25.0,69.0,27,64
25,J.J. Barea,18,444,25.4,13.1,1.1,35.2,1.3,13.0,0.172,13,31,33,17.0,33.0,14.0,37.0,13.0,24.0,11.0,24.0,26,74
26,Harrison Barnes,56,2007,26.2,6.4,1.3,8.0,3.9,13.8,0.197,90,159,189,108.0,155.0,85.0,169.0,86.0,189.0,109.0,261.0,56,167
27,Matt Barnes,54,1367,16.4,16.8,1.3,16.4,4.7,20.5,0.172,138,50,66,45.0,80.0,21.0,51.0,1.0,12.0,11.0,30.0,69,211
28,Will Barton,42,1222,20.6,11.7,1.4,17.2,4.3,13.8,0.303,79,107,141,79.0,146.0,32.0,81.0,21.0,45.0,17.0,39.0,59,155
29,Brandon Bass,37,436,18.6,13.7,0.9,6.9,6.8,14.6,0.396,33,48,53,49.0,65.0,8.0,17.0,17.0,33.0,5.0,17.0,1,2
30,Nicolas Batum,53,1834,21.3,16.2,1.6,27.6,2.2,19.6,0.312,84,171,202,48.0,74.0,26.0,70.0,49.0,119.0,43.0,116.0,95,264
