,USG%,TOV%,STL%,AST%,ORB%,DRB%,PFP36,FTR,FT%,RIM FGR,RIM FG%,MR FGR,MR FG%,3PAR,3P%,RIM DFGAP36,RIM DFG%,kmeans_label,Name
0,16.0,9.5,1.6,5.2,2.1,6.7,0.112,0.204,0.0,0.375,0.476,0.625,0.4,0.0,0.0,4.143,70.3,7,Alex Abrines
1,19.5,8.7,0.8,1.8,7.7,15.5,4.945,0.308,0.85,0.328,0.476,0.203,0.462,0.469,0.467,0.989,80.0,4,Quincy Acy
2,16.8,16.3,1.7,5.6,12.6,15.9,2.782,0.369,0.674,0.575,0.651,0.421,0.467,0.004,0.0,6.244,58.5,8,Steven Adams
3,13.8,8.6,0.7,7.4,0.8,7.8,2.5,0.216,0.884,0.107,0.529,0.506,0.441,0.387,0.39,2.011,72.9,6,Arron Afflalo
4,16.3,16.3,1.7,3.0,7.7,23.7,4.526,0.247,0.708,0.351,0.676,0.619,0.367,0.031,0.0,6.994,60.3,8,Alexis Ajinca
5,9.0,13.5,2.5,7.3,11.4,24.3,6.102,0.284,0.667,0.554,0.683,0.446,0.333,0.0,0.0,8.466,65.8,1,Cole Aldrich
6,24.6,8.2,0.9,10.6,8.4,17.1,2.642,0.305,0.815,0.221,0.714,0.726,0.411,0.052,0.421,4.235,50.0,2,LaMarcus Aldridge
7,10.2,13.5,1.1,9.1,9.9,12.8,3.184,0.187,0.65,0.28,0.433,0.71,0.447,0.009,0.0,4.224,59.4,8,Lavoy Allen
8,17.8,13.7,3.3,7.1,9.3,13.8,3.347,0.251,0.629,0.659,0.551,0.267,0.286,0.074,0.226,2.662,60.4,1,Tony Allen
9,15.5,14.8,1.7,10.1,4.3,24.0,2.244,0.228,0.746,0.28,0.525,0.241,0.275,0.479,0.307,5.224,52.6,0,Al-Farouq Aminu
10,12.8,15.1,2.2,5.9,8.9,20.7,6.316,0.636,0.714,0.636,0.5,0.227,0.4,0.136,0.0,10.105,59.4,1,Chris Andersen
11,13.8,8.5,0.6,5.7,1.3,8.1,3.654,0.171,0.75,0.157,0.818,0.286,0.2,0.557,0.308,2.977,77.3,7,Alan Anderson
12,23.7,11.3,2.1,7.6,6.1,19.1,3.245,0.319,0.795,0.295,0.667,0.262,0.264,0.444,0.303,3.042,71.7,0,Justin Anderson
13,11.5,15.8,2.5,11.0,3.5,18.6,1.985,0.355,0.795,0.266,0.667,0.54,0.328,0.194,0.375,3.434,51.6,0,Kyle Anderson
14,17.7,7.0,0.8,4.6,6.0,12.2,2.442,0.207,0.847,0.153,0.549,0.212,0.365,0.634,0.407,4.736,66.4,6,Ryan Anderson
15,28.3,13.5,2.5,26.4,6.2,21.3,3.329,0.456,0.792,0.493,0.707,0.348,0.381,0.159,0.275,4.571,53.1,5,Giannis Antetokounmpo
16,29.6,8.7,1.3,14.9,2.7,16.3,2.852,0.271,0.824,0.137,0.558,0.564,0.449,0.299,0.378,2.946,62.2,6,Carmelo Anthony
17,14.3,7.9,2.7,9.0,2.2,15.7,1.667,0.133,0.718,0.193,0.646,0.104,0.328,0.703,0.353,2.957,70.3,7,Trevor Ariza
18,18.0,14.9,0.8,10.0,4.9,14.5,4.49,0.06,0.9,0.126,0.571,0.335,0.411,0.539,0.489,5.404,57.7,2,Darrell Arthur
19,8.9,14.6,0.5,4.3,10.4,25.3,3.809,0.6,0.59,0.725,0.517,0.275,0.636,0.0,0.0,7.32,59.2,8,Omer Asik
20,19.4,12.8,1.0,22.2,0.8,7.3,2.386,0.31,0.779,0.16,0.508,0.29,0.377,0.55,0.361,1.866,77.0,6,D.J. Augustin
21,13.0,7.7,1.0,4.4,1.6,12.8,3.83,0.076,0.733,0.051,0.2,0.254,0.4,0.695,0.387,3.878,59.3,4,Luke Babbitt
